,weather
1412,Heavy snow
1413,Heavy snow
1414,Heavy snow
1415,Heavy snow
1416,Heavy snow
1417,Heavy snow
1418,Heavy snow
1419,Heavy snow
1420,Heavy snow
1421,Heavy snow
1422,Heavy snow
1423,Heavy snow
1424,Heavy snow
1425,Heavy snow
1426,Heavy snow
1427,Heavy snow
1428,Heavy snow
1429,Heavy snow
1430,Heavy snow
1431,Heavy snow
1432,Heavy snow
1433,Heavy snow
1434,Heavy snow
1435,Heavy snow
1436,Heavy snow
1437,Heavy snow
1438,Heavy snow
1439,Heavy snow
1440,Heavy snow
1441,Heavy snow
1442,Heavy snow
1443,Heavy snow
1444,Heavy snow
1445,Heavy snow
1446,Heavy snow
1447,Heavy snow
1448,Heavy snow
1449,Heavy snow
1450,Heavy snow
1451,Heavy snow
1452,Heavy snow
1453,Heavy snow
1454,Heavy snow
1455,Heavy snow
1456,Heavy snow
1457,Heavy snow
1458,Heavy snow
1459,Heavy snow
1460,Heavy snow
1461,Heavy snow
1462,Heavy snow
1463,Heavy snow
1464,Heavy snow
1465,Heavy snow
1466,Heavy snow
1467,Heavy snow
1468,Heavy snow
1469,Heavy snow
1470,Heavy snow
1471,Heavy snow
1472,Heavy snow
1473,Heavy snow
1474,Heavy snow
1475,Heavy snow
1476,Heavy snow
1477,Heavy snow
1478,Heavy snow
1479,Heavy snow
1480,Heavy snow
1481,Heavy snow
1482,Heavy snow
1483,Heavy snow
1484,Heavy snow
1485,Heavy snow
1486,Heavy snow
1487,Heavy snow
1488,Heavy snow
1489,Heavy snow
1490,Heavy snow
1491,Heavy snow
1492,Heavy snow
1493,Heavy snow
1494,Heavy snow
1495,Heavy snow
1496,Heavy snow
1497,Heavy snow
1498,Heavy snow
1499,Heavy snow
1500,Heavy snow
1501,Heavy snow
1502,Heavy snow
1503,Heavy snow
1504,Heavy snow
1505,Heavy snow
1506,Heavy snow
1507,Heavy snow
1508,Heavy snow
1509,Heavy snow
1510,Heavy snow
1511,Heavy snow
1512,Heavy snow
1513,Heavy snow
1514,Heavy snow
1515,Heavy snow
1516,Heavy snow
1517,Heavy snow
1518,Heavy snow
1519,Heavy snow
1520,Heavy snow
1521,Heavy snow
1522,Heavy snow
1523,Heavy snow
1524,Heavy snow
1525,Heavy snow
1526,Heavy snow
1527,Heavy snow
1528,Heavy snow
1529,Heavy snow
1530,Heavy snow
1531,Heavy snow
1532,Heavy snow
